score_threshold,nms_iou_threshold,precision,recall,f1,tp,fp,fn,avg_pred_boxes_per_scene,avg_gt_boxes_per_scene
0.75,0.15,0.3548387096745577,0.8799999999824001,0.505747126021403,44,80,6,12.4,5.0
0.75,0.25,0.3333333333309179,0.9199999999816001,0.4893617017320054,46,92,4,13.8,5.0
0.7,0.15,0.335820895519882,0.8999999999820001,0.4891304343814981,45,89,5,13.4,5.0
0.75,0.2,0.32592592592351166,0.8799999999824001,0.47567567527608473,44,91,6,13.5,5.0
0.7,0.25,0.31756756756542187,0.9399999999812001,0.4747474743651668,47,101,3,14.8,5.0
0.75,0.3,0.315068493148527,0.9199999999816001,0.46938775471720123,46,100,4,14.6,5.0
0.65,0.15,0.3146853146831141,0.8999999999820001,0.4663212431345808,45,98,5,14.3,5.0
0.75,0.35,0.31081081080871076,0.9199999999816001,0.4646464642642588,46,102,4,14.8,5.0
0.7,0.2,0.3103448275840666,0.8999999999820001,0.46153846115239977,45,100,5,14.5,5.0
0.6,0.15,0.30263157894537746,0.9199999999816001,0.45544554417743366,46,106,4,15.2,5.0
0.7,0.3,0.299363057322934,0.9399999999812001,0.4541062798224462,47,110,3,15.7,5.0
0.65,0.25,0.29746835442849706,0.9399999999812001,0.4519230765535318,47,111,3,15.8,5.0
0.7,0.35,0.2937499999981641,0.9399999999812001,0.44761904725197277,47,113,3,16.0,5.0
0.65,0.2,0.29220779220589477,0.8999999999820001,0.44117647021386003,45,109,5,15.4,5.0
0.55,0.15,0.2893081760988094,0.9199999999816001,0.4401913871915936,46,113,4,15.9,5.0
0.6,0.25,0.28402366863737266,0.9599999999808001,0.4383561640271888,48,121,2,16.9,5.0
0.65,0.3,0.27976190476023954,0.9399999999812001,0.43119266019299723,47,121,3,16.8,5.0
0.6,0.2,0.27878787878618916,0.9199999999816001,0.42790697638325575,46,119,4,16.5,5.0
0.5,0.15,0.27710843373327043,0.9199999999816001,0.4259259255661866,46,120,4,16.6,5.0
0.55,0.25,0.27272727272572317,0.9599999999808001,0.42477876071360327,48,128,2,17.6,5.0
0.6,0.3,0.26966292134679964,0.9599999999808001,0.42105263123284087,48,130,2,17.8,5.0
0.65,0.35,0.27011494252718327,0.9399999999812001,0.419642856792331,47,127,3,17.4,5.0
0.55,0.2,0.2674418604635614,0.9199999999816001,0.4144144140616833,46,126,4,17.2,5.0
0.45,0.15,0.2643678160904347,0.9199999999816001,0.4107142853638393,46,128,4,17.4,5.0
0.6,0.35,0.26086956521597354,0.9599999999808001,0.41025640991686757,48,136,2,18.4,5.0
0.4,0.15,0.25824175824033935,0.9399999999812001,0.4051724134514715,47,135,3,18.2,5.0
0.5,0.25,0.25531914893481217,0.9599999999808001,0.40336134420252806,48,140,2,18.8,5.0
0.55,0.3,0.25531914893481217,0.9599999999808001,0.40336134420252806,48,140,2,18.8,5.0
0.35,0.15,0.24999999999869793,0.9599999999808001,0.39669421454490805,48,144,2,19.2,5.0
0.5,0.2,0.252747252745864,0.9199999999816001,0.3965517237963734,46,136,4,18.2,5.0
0.55,0.35,0.244897959182424,0.9599999999808001,0.3902439021119704,48,148,2,19.6,5.0
0.45,0.25,0.24242424242301808,0.9599999999808001,0.3870967738684964,48,150,2,19.8,5.0
0.3,0.15,0.2412060301495417,0.9599999999808001,0.38554216835063954,48,151,2,19.9,5.0
0.45,0.2,0.24083769633381763,0.9199999999816001,0.38174273825719257,46,145,4,19.1,5.0
0.5,0.3,0.23529411764590544,0.9599999999808001,0.3779527555863352,48,156,2,20.4,5.0
0.25,0.15,0.23300970873673296,0.9599999999808001,0.3749999996827392,48,158,2,20.6,5.0
0.5,0.35,0.22748815165768965,0.9599999999808001,0.3678160916414615,48,163,2,21.1,5.0
0.4,0.25,0.22641509433855467,0.9599999999808001,0.3664122134288212,48,164,2,21.2,5.0
0.45,0.3,0.22535211267499836,0.9599999999808001,0.3650190110961269,48,165,2,21.3,5.0
0.4,0.2,0.22660098522055863,0.9199999999816001,0.3636363633163461,46,157,4,20.3,5.0
0.35,0.25,0.21874999999902345,0.9799999999804001,0.3576642332756673,49,175,1,22.4,5.0
0.35,0.2,0.22065727699426924,0.9399999999812001,0.35741444835854214,47,166,3,21.3,5.0
0.45,0.35,0.21719457013476384,0.9599999999808001,0.3542435421318882,48,173,2,22.1,5.0
0.3,0.2,0.21171171171075806,0.9399999999812001,0.34558823499151164,47,175,3,22.2,5.0
0.4,0.3,0.21052631578855033,0.9599999999808001,0.3453237407096941,48,180,2,22.8,5.0
0.3,0.25,0.20851063829698507,0.9799999999804001,0.34385964883107417,49,186,1,23.5,5.0
0.25,0.2,0.2034632034623227,0.9399999999812001,0.3345195726588062,47,184,3,23.1,5.0
0.4,0.35,0.2025316455687657,0.9599999999808001,0.3344947732291032,48,189,2,23.7,5.0
0.35,0.3,0.2008196721303245,0.9799999999804001,0.33333333304877594,49,195,1,24.4,5.0
0.25,0.25,0.19838056680081628,0.9799999999804001,0.3299663296840912,49,198,1,24.7,5.0
0.35,0.35,0.19367588932729773,0.9799999999804001,0.32343234295661644,49,204,1,25.3,5.0
0.3,0.3,0.18918918918845873,0.9799999999804001,0.31715210328655963,49,210,1,25.9,5.0
0.3,0.35,0.18081180811741399,0.9799999999804001,0.30529594989085895,49,222,1,27.1,5.0
0.25,0.3,0.17689530685856716,0.9799999999804001,0.29969418934156306,49,228,1,27.7,5.0
0.25,0.35,0.1672354948799753,0.9799999999804001,0.28571428546357386,49,244,1,29.3,5.0
